input,input_size,encoder,level,bias,compressed_size
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,7,0.5,15574216
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,7,0.5,15584317
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,7,0.05,13761410
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,7,0.05,13756158
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,8,1.0,18346784
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,8,1.0,18347965
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,8,0.5,15399758
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,8,0.5,15408582
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,8,0.05,13566935
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,8,0.05,13561567
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,9,1.0,18185188
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,9,1.0,18186887
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,9,0.5,15209873
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,9,0.5,15220834
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,9,0.05,13278313
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,9,0.05,13275389
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,10,1.0,18108090
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,10,1.0,18109957
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,10,0.5,15113733
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,10,0.5,15128252
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,cpp,10,0.05,13183816
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mozilla",51220480,go,10,0.05,13185111
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,0,1.0,5312353
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,0,1.0,5321406
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,0,0.5,3818889
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,0,0.5,3750446
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,0,0.05,3337711
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,0,0.05,3327552
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,1,1.0,4641026
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,1,1.0,4641506
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,1,0.5,3921914
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,1,0.5,3516460
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,1,0.05,3195048
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,1,0.05,3194797
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,2,1.0,4588569
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,2,1.0,4587468
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,2,0.5,3779022
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,2,0.5,3501143
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,2,0.05,3209545
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,2,0.05,3208745
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,3,1.0,4532191
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,3,1.0,4533158
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,3,0.5,3680365
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,3,0.5,3434549
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,3,0.05,3146260
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,3,0.05,3145689
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,4,1.0,4480942
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,4,1.0,4483348
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,4,0.5,3581827
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,4,0.5,3368626
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,4,0.05,3088463
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,go,4,0.05,3087628
"/tmp/skanda-public-corpus-silesia/corpora/silesia/mr",9970564,cpp,5,1.0,4072426
